ease5_序号,ease5_行号,ease5_列号,ease5_x,ease5_y,ease5_z,self_序号,self_行号,self_列号,self_x,self_y,self_z,ease5_spl,self_spl,delta_db(self-ease5),match_dist_xyz
171,9,11,0.19,1.87,1.2,171,9,11,0.18,1.9,1.2,75.33,77.32,1.9899999999999949,0.03162277660168361
172,9,12,0.59,1.87,1.2,172,9,12,0.59,1.9,1.2,75.63,80.53,4.900000000000006,0.029999999999999805
173,9,13,0.99,1.87,1.2,173,9,13,0.99,1.9,1.2,75.63,78.33,2.700000000000003,0.029999999999999805
174,9,14,1.39,1.87,1.2,174,9,14,1.4,1.9,1.2,73.92999999999999,76.39,2.460000000000008,0.03162277660168361
175,9,15,1.79,1.87,1.2,175,9,15,1.8,1.9,1.2,75.42999999999999,80.09,4.660000000000011,0.03162277660168361
176,9,16,2.19,1.87,1.2,176,9,16,2.19,1.9,1.2,75.73,79.274,3.543999999999997,0.029999999999999805
177,9,17,2.59,1.87,1.2,177,9,17,2.61,1.9,1.2,81.33,86.75,5.420000000000002,0.036055512754639744
178,9,18,2.99,1.87,1.2,178,9,18,3.0,1.9,1.2,84.83,85.84,1.0100000000000051,0.03162277660168354
179,9,19,3.39,1.87,1.2,179,9,19,3.42,1.9,1.2,74.83,76.724,1.8940000000000055,0.042426406871192576
180,9,20,3.8,1.87,1.2,180,9,20,3.81,1.9,1.2,71.83,73.274,1.4440000000000026,0.03162277660168368
181,10,1,-3.84,0.61,1.2,181,10,1,-3.85,0.64,1.2,59.23,57.49,-1.7399999999999949,0.031622776601683895
182,10,2,-3.44,0.61,1.2,182,10,2,-3.46,0.64,1.2,59.83,57.41,-2.4200000000000017,0.036055512754639925
183,10,3,-3.04,0.61,1.2,183,10,3,-3.04,0.64,1.2,60.93,59.01,-1.9200000000000017,0.030000000000000027
184,10,4,-2.64,0.61,1.2,184,10,4,-2.65,0.64,1.2,60.73,58.37,-2.3599999999999994,0.03162277660168375
185,10,5,-2.24,0.61,1.2,185,10,5,-2.23,0.64,1.2,61.53,59.39,-2.1400000000000006,0.031622776601683895
186,10,6,-1.84,0.61,1.2,186,10,6,-1.84,0.64,1.2,62.03,60.74,-1.2899999999999991,0.030000000000000027
187,10,7,-1.44,0.61,1.2,187,10,7,-1.44,0.64,1.2,64.33,63.734,-0.5959999999999965,0.030000000000000027
188,10,8,-1.04,0.61,1.2,188,10,8,-1.03,0.64,1.2,66.13,63.15,-2.979999999999997,0.03162277660168382
189,10,9,-0.63,0.61,1.2,189,10,9,-0.63,0.64,1.2,66.23,66.09,-0.14000000000000057,0.030000000000000027
190,10,10,-0.23,0.61,1.2,190,10,10,-0.22,0.64,1.2,63.53,64.56,1.0300000000000011,0.03162277660168382
191,10,11,0.19,0.61,1.2,191,10,11,0.18,0.64,1.2,63.33,64.37,1.0400000000000063,0.03162277660168382
192,10,12,0.59,0.61,1.2,192,10,12,0.59,0.64,1.2,64.23,64.62,0.39000000000000057,0.030000000000000027
193,10,13,0.99,0.61,1.2,193,10,13,0.99,0.64,1.2,64.53,64.92,0.39000000000000057,0.030000000000000027
194,10,14,1.39,0.61,1.2,194,10,14,1.4,0.64,1.2,64.03,64.59,0.5600000000000023,0.03162277660168382
195,10,15,1.79,0.61,1.2,195,10,15,1.8,0.64,1.2,64.23,64.8,0.5699999999999932,0.03162277660168382
196,10,16,2.19,0.61,1.2,196,10,16,2.19,0.64,1.2,64.23,65.16,0.9299999999999926,0.030000000000000027
197,10,17,2.59,0.61,1.2,197,10,17,2.61,0.64,1.2,65.92999999999999,66.79,0.8600000000000136,0.036055512754639925
198,10,18,2.99,0.61,1.2,198,10,18,3.0,0.64,1.2,66.33,65.53,-0.7999999999999972,0.03162277660168375
199,10,19,3.39,0.61,1.2,199,10,19,3.42,0.64,1.2,66.83,67.05,0.21999999999999886,0.042426406871192736
200,10,20,3.8,0.61,1.2,200,10,20,3.81,0.64,1.2,64.63,65.42,0.7900000000000063,0.031622776601683895
